School,City,Region,Applied,Admitted,Enrolled
21ST CENTURY LEARNING INST,Beaumont,Riverside,,,
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,59,50,21
ABLE CHARTER,Stockton,San Joaquin,11,9,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,65,35,26
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,226,133,80
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,105,56,23
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,27,17,14
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,35,23,9
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,18,11,6
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,28,16,6
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,8,3,
ACADEMY OF INNOVATION,Hemet,Riverside,5,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,48,12,4
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,20,9,6
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,67,47,30
ACADEMY OF THE REDWOODS,Eureka,Humboldt,15,13,10
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,13,9,7
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,132,81,34
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,8,3,3
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,47,28,18
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,118,65,31
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,141,105,69
ADULT EDUCATION CENTER DIBBLE,Hacienda Heights,Los Angeles,,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,143,89,36
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,62,39,22
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,67,33,9
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,14,8,6
ALAMEDA HIGH SCHOOL,Alameda,Alameda,195,146,100
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,36,24,19
ALBANY HIGH SCHOOL,Albany,Alameda,146,108,66
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,207,113,52
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,189,135,102
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,40,28,11
ALISAL HIGH SCHOOL,Salinas,Monterey,163,101,42
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,256,171,103
ALLIANCE ALICE M BAXTER CRHS,San Pedro,Los Angeles,22,12,5
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,61,40,19
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,68,46,26
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,42,35,20
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,61,33,13
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,87,61,23
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,62,43,16
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,60,51,22
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,62,37,19
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,27,19,10
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,50,24,12
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,83,41,20
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,32,11,6
