Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,55,16,22.5,3.4,6.8,.504,0.4,1.5,.259,3.1,5.3,.571,.532,1.0,1.6,.621,2.7,3.9,6.5,1.3,0.7,0.9,1.1,1.9,8.2,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
1,Precious Achiuwa,PF,24,NYK,30,16,26.7,3.7,6.8,.541,0.3,1.1,.235,3.4,5.7,.602,.561,1.0,1.5,.667,3.2,4.2,7.4,1.0,0.7,1.2,1.0,2.2,8.7,achiupr01
2,Bam Adebayo,C,26,MIA,51,51,34.6,7.8,15.1,.516,0.0,0.2,.083,7.8,14.9,.522,.516,4.8,6.1,.776,2.2,8.1,10.3,4.0,1.0,1.0,2.5,2.5,20.4,adebaba01
3,Ochai Agbaji,SG,23,TOT,61,12,19.0,2.1,5.1,.416,0.9,2.8,.320,1.2,2.3,.536,.505,0.3,0.5,.750,0.7,1.7,2.5,0.9,0.5,0.5,0.7,1.3,5.5,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,agbajoc01
3,Ochai Agbaji,SG,23,TOR,10,2,15.9,2.3,6.1,.377,0.8,3.0,.267,1.5,3.1,.484,.443,0.6,0.8,.750,1.0,1.4,2.4,0.8,0.3,0.4,0.8,1.3,6.0,agbajoc01
4,Santi Aldama,PF,23,MEM,51,25,25.5,4.0,9.4,.429,1.7,4.9,.345,2.3,4.4,.522,.520,0.8,1.3,.612,1.2,4.4,5.6,2.3,0.6,0.7,1.2,1.5,10.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,62,17,23.0,2.6,6.1,.427,1.5,3.9,.378,1.1,2.2,.515,.548,0.6,0.7,.778,0.4,1.6,2.0,2.6,0.8,0.5,0.9,1.8,7.2,alexani01
6,Grayson Allen,SG,28,PHO,56,56,33.4,4.3,8.6,.495,2.6,5.5,.471,1.7,3.1,.538,.646,1.7,1.9,.890,0.6,3.3,3.9,3.1,0.9,0.6,1.3,2.2,12.9,allengr01
7,Jarrett Allen,C,25,CLE,57,57,31.4,6.5,10.3,.632,0.0,0.1,.000,6.5,10.2,.637,.632,2.9,3.9,.734,3.4,7.2,10.6,2.7,0.7,1.1,1.7,2.1,15.9,allenja01
8,Jose Alvarado,PG,25,NOP,41,0,17.1,2.5,6.1,.414,1.2,3.5,.352,1.3,2.6,.500,.516,0.7,1.0,.675,0.4,1.8,2.2,2.0,1.1,0.3,0.8,1.5,7.0,alvarjo01
9,Kyle Anderson,PF,30,MIN,60,4,22.0,2.4,5.2,.469,0.1,0.6,.216,2.3,4.5,.504,.482,1.3,1.8,.717,0.8,2.8,3.5,4.1,0.8,0.5,1.3,1.5,6.2,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,60,60,34.9,11.5,18.5,.618,0.5,1.8,.302,10.9,16.8,.651,.632,7.3,11.0,.661,2.6,8.7,11.2,6.3,1.3,1.0,3.4,2.9,30.7,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,27,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.522,.500,0.0,0.1,.000,0.2,0.1,0.4,0.5,0.2,0.1,0.4,0.8,0.9,antetth01
12,Cole Anthony,PG,23,ORL,62,0,23.0,4.1,9.5,.432,1.0,3.3,.319,3.1,6.2,.492,.487,2.5,3.0,.833,0.8,3.2,4.0,3.0,0.8,0.4,1.7,2.5,11.8,anthoco01
13,OG Anunoby,SF,26,TOT,41,41,34.1,5.8,11.7,.498,2.1,5.5,.379,3.7,6.1,.606,.588,1.6,2.0,.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3,anunoog01
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,14,35.7,5.8,11.2,.516,1.8,4.6,.391,4.0,6.6,.602,.596,2.3,2.7,.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,59,59,28.6,5.1,10.0,.503,1.2,2.9,.399,3.9,7.1,.547,.562,2.4,3.2,.747,1.1,5.6,6.7,3.7,0.8,0.4,2.0,2.5,13.7,avdijde01
16,Deandre Ayton,C,25,POR,40,40,31.6,6.6,11.6,.570,0.0,0.0,,6.6,11.6,.570,.570,1.1,1.3,.824,3.0,7.6,10.6,1.7,1.1,0.8,1.7,2.2,14.3,aytonde01
17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,.727,0.0,0.0,,1.1,1.6,.727,.727,0.2,0.8,.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,azubuud01
18,Ibou Badji,C,21,POR,18,1,11.3,0.7,1.1,.632,0.0,0.0,,0.7,1.1,.632,.632,0.3,0.6,.500,1.1,1.6,2.7,0.7,0.1,1.1,0.8,2.3,1.6,badjiib01
19,Marvin Bagley III,C,24,TOT,44,22,21.2,4.7,8.2,.575,0.1,0.4,.294,4.6,7.8,.589,.582,2.0,2.7,.748,2.7,3.5,6.2,1.2,0.4,0.6,1.2,1.8,11.5,baglema01
19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,baglema01
19,Marvin Bagley III,C,24,WAS,18,12,25.2,5.6,9.9,.559,0.2,0.6,.364,5.3,9.3,.571,.570,2.2,3.2,.672,4.1,4.5,8.6,1.5,0.7,0.8,1.3,2.1,13.5,baglema01
20,Amari Bailey,PG,19,CHO,3,0,5.0,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,20,0,7.6,0.9,2.4,.383,0.6,1.4,.407,0.4,1.0,.350,.500,0.4,0.6,.667,0.4,1.8,2.2,0.4,0.1,0.2,0.3,1.1,2.8,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,ballla01
23,Mo Bamba,C,25,PHI,40,3,11.0,1.5,3.3,.469,0.4,0.8,.424,1.2,2.4,.485,.523,0.5,0.8,.636,1.4,2.4,3.8,0.7,0.3,1.0,0.7,1.6,3.9,bambamo01
24,Paolo Banchero,PF,21,ORL,61,61,34.8,8.2,17.7,.462,1.5,4.2,.362,6.7,13.5,.493,.505,5.0,7.1,.707,1.1,5.7,6.8,5.2,1.0,0.5,3.1,2.0,22.9,banchpa01
