CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001400100,California,Alameda,2952,1454,1498,3.4,70.7,3.6,0.0,15.8,0.0,2399,174113.0,37080.0,104852.0,16267.0,3.5,6.9,76.3,3.9,14.5,1.8,3.4,58.4,11.2,10.3,0.0,2.3,17.8,32.5,1522,75.5,10.0,14.5,0.0,5.6
6001400200,California,Alameda,1984,938,1046,9.1,72.9,1.5,0.0,8.0,0.0,1591,141806.0,12739.0,76930.0,8201.0,5.8,1.3,73.6,7.9,12.6,4.0,1.8,46.5,3.7,26.3,6.1,4.6,12.8,25.4,1222,73.4,13.3,12.8,0.5,2.2
6001400300,California,Alameda,5377,2362,3015,6.9,62.1,12.9,0.2,13.5,0.0,4078,84598.0,15779.0,62892.0,13836.0,8.1,1.2,66.0,12.0,13.8,1.4,6.8,48.7,6.5,23.0,6.5,4.6,10.7,29.5,3277,74.0,18.6,7.4,0.0,8.8
6001400400,California,Alameda,4105,1933,2172,9.1,63.2,11.0,0.9,9.9,0.0,3417,102386.0,13037.0,53779.0,4346.0,7.4,0.0,80.0,5.4,11.3,1.1,2.2,33.5,10.0,25.9,3.6,17.2,9.7,27.2,2614,69.7,19.2,10.9,0.2,3.3
6001400500,California,Alameda,3651,1628,2023,14.2,51.7,24.3,0.0,4.8,0.8,2841,76038.0,4925.0,38442.0,3325.0,12.7,0.0,60.6,12.7,16.7,6.7,3.2,44.6,5.3,22.2,3.8,9.1,15.1,28.6,2286,79.6,11.8,8.6,0.0,6.5
6001400600,California,Alameda,1665,787,878,12.3,34.8,38.7,0.3,6.5,0.0,1404,60804.0,22129.0,37911.0,4413.0,6.6,10.0,52.2,18.9,19.4,3.6,5.9,41.8,11.6,25.4,0.8,12.9,7.5,28.8,929,80.0,15.6,4.4,0.0,14.9
6001400700,California,Alameda,4544,2135,2409,13.0,35.7,40.3,1.3,2.9,0.0,3509,39614.0,6204.0,25443.0,3362.0,19.8,29.8,51.0,18.9,22.4,2.5,5.3,41.1,4.6,32.4,1.8,12.1,8.1,33.4,2142,67.4,17.9,14.4,0.4,10.5
6001400800,California,Alameda,3527,1782,1745,12.5,38.4,33.1,0.2,12.1,0.0,2889,59886.0,5934.0,36590.0,4283.0,8.7,0.0,57.2,15.8,15.5,5.7,5.9,51.1,10.5,20.2,3.0,7.2,8.1,26.4,2086,66.1,20.9,12.3,0.8,11.1
6001400900,California,Alameda,2175,1019,1156,5.3,42.2,39.3,0.6,7.0,0.0,1611,57003.0,11564.0,40733.0,8832.0,14.6,15.7,44.2,19.3,25.2,6.1,5.1,61.1,3.4,22.4,0.9,5.1,7.1,28.0,1226,73.4,12.3,14.3,0.0,5.3
6001401000,California,Alameda,5987,3164,2823,19.6,31.4,38.5,0.2,4.3,1.4,4793,44766.0,18411.0,28660.0,3876.0,27.2,41.6,47.2,16.4,21.3,6.4,8.8,32.7,11.4,33.8,8.0,8.1,6.0,28.7,3362,74.9,12.7,12.4,0.0,9.2
6001401100,California,Alameda,4210,2119,2091,15.2,46.3,21.7,0.0,11.2,0.0,3642,59500.0,9352.0,37721.0,3872.0,15.6,7.4,68.7,10.4,14.2,1.9,4.7,27.9,9.3,38.9,1.9,13.7,8.3,30.7,2592,70.3,16.3,12.6,0.8,12.8
6001401200,California,Alameda,2496,1121,1375,18.1,52.2,14.7,0.2,10.2,0.1,2023,78203.0,8179.0,50976.0,5898.0,8.0,5.1,65.2,12.4,11.3,3.5,7.6,43.3,3.7,24.6,5.9,13.4,9.1,28.3,1627,75.7,14.3,10.1,0.0,11.8
6001401300,California,Alameda,4018,2416,1602,13.4,27.9,35.6,0.9,18.4,0.0,3158,36788.0,5112.0,30053.0,5088.0,33.2,31.4,37.1,28.9,16.8,3.6,13.6,29.7,9.1,37.3,10.6,8.4,4.9,31.8,2099,81.7,13.0,5.4,0.0,15.5
6001401400,California,Alameda,4190,2043,2147,23.6,13.8,45.1,1.2,10.9,0.6,2811,28532.0,5696.0,15145.0,1883.0,40.7,60.0,36.7,25.6,19.6,11.6,6.5,41.7,3.0,29.2,7.0,11.2,8.0,29.5,1705,79.9,11.0,9.0,0.0,16.2
6001401500,California,Alameda,2213,1160,1053,9.4,34.3,41.5,0.2,9.5,0.0,1759,48490.0,4382.0,30970.0,3519.0,23.0,9.8,39.5,24.5,21.4,2.1,12.6,44.3,12.9,24.6,2.7,9.8,5.7,32.4,1288,77.6,11.6,10.9,0.0,9.7
6001401600,California,Alameda,1966,1036,930,14.8,29.6,37.5,0.0,12.5,2.4,1275,37946.0,14261.0,22473.0,3937.0,30.3,47.8,36.3,29.0,16.5,5.1,13.0,40.7,12.0,31.6,2.4,10.4,2.8,28.8,991,66.5,25.5,8.0,0.0,8.4
