Major,Semester,Enrollment
Computer Science & Engineering,Fall 2021,1166
Mechanical Engineering,Fall 2021,755
Bioengineering,Fall 2021,194
Environmental Engineering,Fall 2021,104
Civil Engineering,Fall 2021,71
Materials Science & Engineering,Fall 2021,34
Computer Science & Engineering,Fall 2022,1316
Mechanical Engineering,Fall 2022,698
Bioengineering,Fall 2022,202
Environmental Engineering,Fall 2022,86
Civil Engineering,Fall 2022,141
Materials Science & Engineering,Fall 2022,35
Computer Science & Engineering,Fall 2023,1383
Mechanical Engineering,Fall 2023,715
Bioengineering,Fall 2023,180
Environmental Engineering,Fall 2023,78
Civil Engineering,Fall 2023,209
Materials Science & Engineering,Fall 2023,28
