CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6075010100,California,San Francisco,3798,2056,1742,11.8,47.1,1.4,0.0,33.8,0.0,2572,61442.0,23965.0,52505.0,10569.0,15.6,4.8,56.5,16.7,18.5,4.0,4.3,30.5,6.5,22.7,22.1,6.5,11.7,29.6,2141,80.2,12.9,6.9,0.0,5.1
6075010200,California,San Francisco,4172,2173,1999,3.2,83.4,0.0,0.0,9.6,0.0,3670,117986.0,21679.0,117854.0,13392.0,5.0,0.0,66.2,6.2,26.4,0.0,1.3,28.4,3.8,38.5,11.7,4.9,12.6,27.3,2717,87.4,4.9,7.7,0.0,2.8
6075010300,California,San Francisco,4387,2282,2105,8.9,52.9,0.0,0.0,37.0,0.0,3156,87721.0,25948.0,67522.0,21124.0,15.9,31.7,53.7,14.5,25.3,5.6,0.9,22.3,5.4,32.6,25.4,2.4,11.9,27.3,2435,83.0,5.6,10.8,0.5,3.0
6075010400,California,San Francisco,5148,2711,2437,8.6,58.2,0.0,0.0,27.4,0.0,3880,103328.0,7436.0,77497.0,13346.0,7.9,0.0,55.2,15.8,20.5,3.1,5.4,32.0,1.3,22.4,32.9,4.1,7.2,29.4,3378,81.0,8.8,10.2,0.0,7.0
6075010500,California,San Francisco,2589,1315,1274,5.5,50.5,2.0,0.0,31.1,0.8,1891,105000.0,20291.0,92532.0,14043.0,9.4,0.0,63.7,8.9,18.3,4.2,5.0,24.0,12.0,12.0,42.5,2.5,7.0,23.9,1299,87.5,6.9,4.9,0.8,9.9
6075010600,California,San Francisco,3604,2064,1540,5.9,33.7,1.5,0.0,58.0,0.0,2652,34808.0,7901.0,39373.0,6846.0,24.4,44.1,46.1,25.6,21.0,0.0,7.4,16.2,2.4,26.4,43.8,6.5,4.5,25.6,2026,88.8,5.1,6.0,0.0,7.8
6075010700,California,San Francisco,5302,2661,2641,3.2,21.4,0.0,0.0,75.4,0.0,3450,22260.0,3329.0,23572.0,3890.0,26.0,21.0,25.9,38.5,24.4,3.2,8.1,15.5,1.8,32.0,42.3,3.9,4.6,28.2,2525,88.7,6.9,4.4,0.0,9.6
6075010800,California,San Francisco,5065,2233,2832,8.1,41.2,0.0,0.2,47.6,0.0,4345,85785.0,10136.0,56807.0,7694.0,17.3,22.2,50.0,13.7,30.4,0.7,5.1,22.8,4.9,25.1,34.2,4.2,8.8,30.7,3154,82.0,9.2,8.8,0.0,6.0
6075010900,California,San Francisco,4535,1872,2663,1.7,67.7,2.2,0.0,27.5,0.0,4065,113015.0,16747.0,92372.0,11927.0,9.1,16.8,66.4,5.2,28.0,0.0,0.4,21.2,5.4,30.7,22.3,8.7,11.7,31.4,3287,86.7,6.7,6.6,0.0,2.0
6075011000,California,San Francisco,5085,2309,2776,7.0,44.2,1.4,0.0,43.8,0.0,4388,109090.0,12660.0,72653.0,9111.0,5.4,0.0,68.8,7.7,18.8,1.1,3.6,23.8,11.7,38.4,11.7,10.0,4.4,32.5,3865,88.9,6.4,4.7,0.0,1.4
6075011100,California,San Francisco,4940,2628,2312,9.0,60.6,4.2,0.0,24.6,0.0,4056,72500.0,17712.0,57668.0,6307.0,11.1,0.0,54.7,17.0,23.4,1.3,3.6,14.3,4.6,39.7,26.9,7.7,6.9,29.7,3461,88.4,6.0,5.5,0.0,3.1
6075011200,California,San Francisco,3281,1660,1621,6.0,53.0,1.8,0.0,34.0,2.1,2704,78690.0,28052.0,104495.0,46170.0,12.0,20.5,60.9,12.5,23.9,0.5,2.2,21.7,3.5,34.8,32.1,1.7,6.2,29.1,1927,83.8,8.4,7.8,0.0,3.9
6075011300,California,San Francisco,2885,1450,1435,2.5,18.6,2.6,0.1,72.9,0.3,2140,24781.0,11750.0,37496.0,8291.0,23.4,36.8,40.6,32.3,23.2,2.7,1.3,12.6,2.5,25.1,47.6,2.2,10.0,24.8,1339,75.5,15.0,9.5,0.0,1.1
6075011700,California,San Francisco,1635,908,727,15.1,32.4,6.4,0.0,44.2,0.0,1223,34914.0,11100.0,54568.0,14706.0,25.2,39.3,39.9,27.4,22.3,2.0,8.4,7.4,0.0,31.4,51.0,6.4,3.8,27.2,1056,90.4,6.3,2.4,0.9,9.9
